registered_num,year_processed,objectives_activities,achievements_performance,grant_policy,error
254331,2025,"The fund's objectives are to raise money to provide the patients and staff of Mount Vernon Hospital with equipment and services at the Hospital to benefit patient experiences and outcomes.
The Comforts Fund operates a shop, which provides a variety of soft drinks, confectionery, toiletries, novelties, newspapers and stationery to patients, staff and visitors. The Fund also operates a 'Look in' shop which sells donated goods, mainly clothes and bric-a-brac. There is also a well-used Bookshop adjacent to the Shop. and occupational therapy aids are now on sale in response to demand from patients visiting the site.","The current year has seen a small decline in the turnover in the two of the three outlets that have operated throughout the year, The Shop and Look In shop, with the Bookshop broadly flat year on year. The Trustees consider this to be a satisfactory level of performance.
Our total sales declined by 4.6% on the previous year to £88,145 (2024 £92,131).
The grants approved by the Fund to departments at Mount Vernon Hospital and Charities based on the site, in the year were £166,174, a threefold increase in the year. The improvement reflected a decision by the Trustees to support Charities based on the site including Paul Strickland Center and Michael Sell House. This resulted in a pipeline of commitments at the year-end of £65,708 (£33,697 in 2024).
The outlook for our operations remains positive and the Trustees would like to thank all our volunteers for their tireless efforts and loyalty. The Charity is confident that it continues to have a useful future at Mount Vernon Hospital.","The Fund's policy on reserves is to retain sufficient working capital to operate its activities efficiently and meet its ongoing obligations in the event of unforeseeable interruption to its activities. In current circumstances it is considered this could be met by the retention of £50,000 in accumulated unrestricted reserves. Our reserves comfortably exceed our minimum requirement and places the Fund ina strong position to weather the headwinds facing the UP economy.",
800077,2024,"The objectives of the Charity are the:

I relief of sickness by the provision of amenities and equipment in particular, but not exclusively to persons attending Chasing Cross Hospital (Fulham) or such other hospital as the Trustees may decide.

I relief of dependants of such persons or any such persons who have died and who are in need, hardship or distress.

I promotion of research into the cause and treatment of illness or disease in particular but not exclusively kidney disease, and publication of useful results thereof.

I making grants to such associations, trusts, societies or corporations as are established for exclusively charitable purposes.

At present the Charity's main activities to achieve the above objectives is by issuing of grants to other charitable organisations.","During the year the Charity issued 41 (2023 I 40) grants to 41 (2023 I 40) charitable organizations totalling £398,200, less an unpaid grant of £5,000 reallocated from 2022 (2023 I £400,752).

The Charity holds reserves in investments in order to generate income for the Charity to use in its activities. The Trustees aim to hold the original settlers legacy in investments and a years investment income in cash reserves for distribution in the forthcoming year.

The reserves available to carry forward and spend on grants for the forthcoming year are £86,652 (2023 - £233,063).

The legacy has been placed into investments for the future income generation of the Charity. It is the trustees intention that the investment income generated in the year will be made available for grants in the following year.","It's the charity's policy to distribute monies only to registered charities who carry out the aims of the charity.

The trustee board approve all grants at the board meetings. Grants have only been issued to charities registered with the Charity Commission whose activities align with the objectives of the Charity.

The Charity only distributes Grants knowing it has the sufficient cash reserves to distribute them.",
1038860,2024,,,,
251848,2024,"The primary purpose of the Charity is to repair and maintain the Parish Church of Pelham St. Mary Magdalen, and meet other expenses connected with the Church, for the benefit of the poor inhabitants of the former ancient parish of Pelham St. Mary Magdalen.

Management and lettings of land and property
The Trustees shall let and otherwise manage all the land and property belonging to the charity not required to be retained or occupied for the purpose thereof subject to such consents as are required by law.

Application of income
The Trustees shall first defray out of the income of the Charity the cost of maintaining the property of the charity (including the repair and insurance of any buildings thereon) and all other charges and outgoings payable in respect thereof and all the proper costs, charges and expenses of and incidental to the administration and management of the charity.

Subject to the payment of expenses aforesaid the Trustees shall apply the income of the charity as follows:-

As to fifty per cent. thereof shall be paid to the Trustees of the Pelham Market Ecclesiastical Charity for the application for the purposes of that charity.

As to fifty per cent. thereof shall be paid to the Trustees of the Pelham Market Non-Ecclesiastical Charity for the application for the purposes of that charity.","During the year the Charity continued to let and manage the properties belonging to the Charity, and repaired these properties as necessary.",,
1007837,2024,,,,Text extraction failed
275657,2024,"The charity's objects are specifically restricted to the following:
1. The advancement of religion in accordance with the Orthodox Jewish Faith.
2. Support of Jewish religious institutions of learning and synagogues, including schools and colleges.
3.The relief of poverty and
4.Other purposes as are recognized by English Law as charitable and in furtherance of the aforementioned objects.

The Charity has continued to make significant grants throughout the year, in accordance with its grant making policy.

The trustees continue to operate within the confines of the charity objectives namely the relief of poverty by providing grants in respect of the advancement of jewish education. The trustees provide grants to a variety of establishments.
The trustees have also identified institutions which as a result of the economic downturn are experiencing a reduction in their fee income and have provided assistance to them in this respect as well.
Where the trustees make grants to institutions, they stipulate how these monies should be spent and constantly monitor the effectiveness of the allocation of the resources extended through the grant funding.
The trustees are of the opinion that this latter method of funding combines both objectives of the charity such that through the grants to the institution, students who are partly able or unable to pay their fees, are also assisted.",The Trustees are actively looking to make grants to UP Charities that satisfy the charity's objects and strict ethical criteria.,,
255205,2024,"The objects for which the Association is established are:
(i) The diffusion and support of the principles of Unitarian Christianity.
(ii) The publication and circulation of biblical, theological, scientific, and literary knowledge related to Unitarian Christianity.
(iii) To do all such other lawful things as are incidental or conducive to the attainment of the above objects, or any of them.","The total incoming resources of the Company for the year, particulars of which are shown in the Statement of Financia! Activities, amounted to £147,179 (2023 - £141,390), all of which was investment income. There were no legacies during the year. Investment income and interest levels remained substantially the same. Portfolio management fees were £18,689 (2023 - £20,294). £102,015 (2023 - £95,972) was distributed to the restricted funds. The net balance payable to The General Assembly of Unitarian and Free Christian Churches was £32,335 (2023 - £27,432). There was a realized loss of (£2,230) (2023 - Nil) and unrealized gains of £267,052 (2023 - (£96,012)) (giving an increase in the market value of investments).",,
529499,2024,To further the education of the children of the villages of Kirkby-in Cleveland and Great Brought and surrounding neighborhood,"The Trust have awarded grants totalling 2,201.58

• Samba Workshop £400
• Transport to Young Voices concert £800
• First Aid Course £700
• Children's bibles £157.33
• Children's bibles £144.25",,
528253,2024,,,,
261685,2025,"The trust makes donations to bodies embracing a wide range of charities, the main fields supported being medical and health, welfare in the community, environment and wildlife, and church and heritage with special reference to charities in, or with branches in the North West of England.

The trustees do not have the power to accumulate income and accordingly the income of each accounting year is fully disbursed within the following year.","The fund generated investment income of £365,803 (2024: £361,420) in the year and paid out £502,959 (2024: £932,260) in charitable grants and support costs.

All expenditure in the year was in accordance with the objects of the charity.

In accordance with its governing document the charity has focused distributions on North West England. During the year £479,000 (96%) (2024: £888,300 (96%)) of the grants distributed were to charities based in the North West or the North West operations of national charities.

The charity has low governance costs. The governance costs incurred relate to professional fees.

Grants to institutions are as detailed in the notes to the accounts.

There were no fundraising costs during the year.

There were recognized losses on investments amounting to £428,120 (2024: gains of £415,689).

These losses were largely due to the announcement of US trade tariffs in early April 2025, and the investments have fully recovered since the year-end.

There was net expenditure and net movement in funds of £565,276 (2024: £155,151).","The charity has established its grant making policy to achieve its objects for the public benefit. The charity invites applications for funding through contacting the trustees to contribute towards projects that the trustees feel are appropriate for the charities objects.

The application of the funds by way of grants is to institutions.

The trustees measure the success of achieving the stated aims by the number and value of grants paid out for each object. The grants paid out in the year are detailed in the notes to the accounts and the trustees consider they have met their aims successfully this year.",
217485,2024,"The College Estate generates virtually all its income from its permanent endowed assets, which are invested in quoted investments and physical property. If one of these permanent endowed investments is disposed of, the College Estate has a legal duty to reinvest the net proceeds in another form of investment. The sale proceeds can never be used to fund general activities and costs; such costs are covered by the income generated by the investments. The College Estate does not perform fundraising to generate income.",In 2024 the Group applied £2.7m to charitable purposes of which £1.1m discretionary grants have been provided to 147 beneficiaries. In 2024 the Community Hub continued to go from strength to strength and many community groups utilized the various meeting spaces on a regular basis. The cost of the Community Hub for the year was £0.1m. Full details of discretionary grants and the Community Hub can be found in the Annual Report of the Town Trust.,"The College Estate gifted £ 0.4m (2023: £0.6m) in grants to the Town Trust. The Town Trust, after defraying costs, used this grant to fund its discretionary grant making programme.",
263207,2025,"Our strategy and policies are approved by the Board, following collaborative development by stay and Trustees. Is work is also incorporated into stay probation or appraisal documents, with objectives split across the eve areas of governance, management, our work programme, nance and personal development. Board and Committee meetings, alongside Away Days, are opportunities for focussed consideration of our future strategy and purpose, and the decisions we need to take to support with this. In 2024/25, each of our six Board meetings included agenda items relating to our current and future strategy and our November Board meeting was changed to an extended Board session focussing on our next strategy.","Implementing our strategy
In March 2022 the Foundation approved our strategy for 2022-25 which can be accessed by clicking here. The strategy seeks to determine how we can advance welling with 100% of our assets. We continue to be values-led in all that we do; working in ways that are responsive, discerning, connected, flexible and offer a personal touch. Our strategy splits our work into the following four strategic pillars:
Our funding offer, ensuring that we embrace and deliver best and promising practice;
Our investment policy, ensuring that we invest in ways that are better aligned to our aim, values and funding categories;
Our work with others, ensuring that we understand our stakeholders and can work with them to deliver our work together more eﬀectively; and
Our commitment to accountability, ensuring that we make further progress on diversity, equity and inclusion, transparency and impact and learning.","Our Investment Policy is reviewed annually, in recognition of the way in which our thinking on our investing evolves and progresses each year. Our latest Investment Policy was published in May 2024, and includes the following important changes:
• Emphasizing our belief in stewardship to produce sustainable ﬁnancial, environmental and societal beneﬁts. Is means using our in¾uence to ensure that our investments generate not just a positive financial return, but social and environmental beneath as well.
• Extending our exclusions policy to include any investment in the following: Indirect investments into tobacco; thermal coal; tar sands; and new primary market capital for fossil fuel production and infrastructure (this means, for example, we will not buy new shares issued by oil and gas companies).",
234156,2024,"To hold sites and monies for church purposes in the Diocese of Bangor. The Roberts fund was established to be used for the maintenance and repair of pre-reformation churches within the Diocese of Bangor but not the Cathedral. The School fund is held for statutory education purposes within the Diocese of Bangor. The Evans fund is held to assist churches within the Diocese of Bangor to hold their services in the Welsh language. The Sir Richard and Lady Vaughan Fund is held to support the clergy in the Diocese of Bangor. The St Madman fund is held to enhance ability to worship God, grow the Church and love the world by supporting projects that improve buildings or premises used by the Ministry Area, or new projects that enhance the mission of the Ministry Area. The Trust's main aim is to assist and promote the work of the Church in Wales in the Diocese of Bangor.","The Trustees have continued to concentrate on building up capital funds for the trusts, established as the result of generous legacies. In later years the income from these trusts will be used to support the mission of the Diocese of Bangor, enable Ministry Areas to hold services in Welsh, and offer some support for the repair and development of Post-Reformation churches. The Ministry Area funds continue to be administered by the Diocesan Office.",,
1053660,2024,"The Charity was established to support the activities of religious Jewish organizations recognized as charitable by English law both in the UP and abroad, especially those in the field of education and relief of poverty.

The Charity receives income from its investment properties which it utilizes in the provision of grants to organizations that fall within the objectives of the Charity.

The Charity also receives donations from third parties which are then utilized the same way as above.

The Charity continued to procure significant income from its investments in the sum of £238,060 and made significant grants in the sum of £89,650.

The trustees confirm their compliance with the duty to have due regard to the public benefit guidance published by the Charity Commission when reviewing the charity's aims and objectives and in planning future activities.","The trustees consider that the performance of the charity this year has been most satisfactory. Substantial funds have been granted to institutions during the period from income from the investments.

The Statement of Financial Activities shows a deficit of £21,126 after making total grants of £89,650 and the reserves stand at £2,909,305.

The trustees have made a full assessment of the internal and external factors that may affect these financial statements and do not deem any factors material enough to have an impact.",Grants are made to charitable institutions and organizations which accord with objects of the Charity.,
1046617,2024,"The Trust Fund exists to support charitable, educational and community initiatives within the local area. Its principal activities are to raise funds through various events and activities, and to distribute these funds to local charities and good causes that are aligned with the Trust's objectives.","During the year, the Trust Fund organized a number of successful fundraising events, including an Arts and Crafts Show, a Maestros Event, a Frog Race, and a Cabaret Evening. These events generated over £28,000 in income, which was then distributed to a range of local charitable organizations and community projects. The Trust's support has helped to fund initiatives such as a Memory Café, an Audio Magazine, and various youth programs.","The Trust's grant-making policy is focused on supporting local charities and community groups within the Vale of Beauvoir area. Funding decisions are based on the alignment of the applicant's work with the Trust's objectives, as well as their ability to demonstrate the positive impact that the grant will have. The Trustees review all grant applications and make decisions based on the available funds and the merits of each proposal.",
262185,2024,"The charity is established to foster, assist and promote the charitable activities of any institution professing and teaching the principles of traditional Judaism, to advance religion in accordance with the Jewish faith and to give philanthropic aid to the Jewish needy, The charity receives income from its investments, subsidiary undertaking and voluntary income from companies connected with the trustees which it utilizes in the provision and distribution of grants and donations to organizations that fall within the objectives of the charity.","During the year the charity has continued its philanthropic activities and has maintained its support of religious, educational and other charitable institutions both in Great Britain and abroad. The demands on the charity's funds were more than those experienced last year with charitable donations for the year totalling £336,707 as against £189,063. The donations were met from current income and reserves of the charity.",Grants are made to charitable institutions and organizations both in Great Britain and abroad which accords with the objects of the charity. The trustees consider all requests which they receive and make donations based on the level of funds available.,
1040778,2024,The charitable Settlement was established to benefit certain charitable institutions and to further charitable purposes or objects at the discretion of the Trustees. The Trustees have always sought to assist appeals aimed at current social issues.,"In 2024 the Trustees made grants totalling £32,000 (2023: £501,778) during the year. This brings the total level of grants made by the Trustees since the establishment of the Charitable Settlement to approximately £25m. Since the establishment of the Charitable Settlement the Trustees have made grants to charities in the following areas: Homeless, Elderly, Human Rights, Cancer, Environment, Poverty overseas, Medical, Ukraine - humanitarian causes, Other. The Trustees regularly review the work of the recipients of their grants and each new application for funding is studied with great care.",The Trustees' policy is to make grants based upon the level of funds available subject to those payments falling within the objects of the charity or any restrictions imposed by the original donors of the funds.,
282103,2025,"The Trustees are authorized under a Deed of Covenant dated 4th April 1989 to distribute the funds received, to persons or organizations either registered as legally charitable under the laws of England or are so regarded in the eyes of the trustees, whilst having regard each time that public benefit nationally and/or internationally has been satisfied. Among the objectives of the Trust, reflected in the accompanying accounts, are the extension of evangelism on a worldwide basis to assist the development of the Christian faith, including the translation of the Bible, distribution and sharing of the Bible, ministerial training, and Christian broadcasting.","During the financial period 2023/24, the Trustees received satisfactory reports from all recipients of grants.

Brought forward from the previous year and on receipt of a satisfactory report from Love Burundi, a grant of £3150 was made to them later in April 2024.

After due consideration of all appeals received by December 31st 2024, the Trustees were able make twelve grants totalling £36,028.00 during the period of this report for Christian work in the UP and overseas. One grant for £3000 was not expense until later in April 2025 and therefore not financially accounted for in this report.

These grants will support UP registered charity appeals for the proclamation of the Christian faith through literacy, training, translation, logistics and media, both within the UP and overseas. The Trustees satisfied themselves that the funds they granted were to be used in accordance with the beneficial purpose for which they were requested. The grants are listed in the financial summary that follows.","Appeals sent, online or mailed, must be received before December 31st each year, and will be shared with all trustees in preparation for their annual grant making meeting held early the following year. This ensures as much income as possible has been received for the benefit of successful applicants.",
312418,2024,"On establishment, the object of the Trust was to maintain the present buildings of the Burdett-Coutts, Townsend and St Stephen's Schools, or other suitable buildings under section 7 of the Elementary Education Act 1870: or to maintain exhibitions tenable at institutions of secondary or higher education: or otherwise to use the funds for the educational benefit of the poor.
The charity now applies its income for the benefit of the school, substantially in assisting with the cost of maintaining the building by making payments to the London Diocesan Board Maintenance Fund. It also funds activities outside the educational funding of the school and funds extraordinary purchases agreed with the head teacher.","The trustees made a grant to provide financial support to families using the Out of School Club of £9,000. A Christmas celebration was provided for the school staff and for the children.
The trustees provided a grant of £25,000 (2023: £25,000) to help with the cost of maintenance of the school building in addition to paying for the contribution to the London Diocesan Board Maintenance Fund of £3,766 (2023: £3,821).",,
1049193,2024,"The objects of the charity are of general charitable purposes. The charitable activity is performed through the awarding of grants, in accordance with the terms of the governing document.","During the year 122 grants totalling £430,040 (2023: 45 grants totalling £205,491) were awarded to charitable institutions, in accordance with the terms of the governing document. The level of investment income generated in the year was considered satisfactory and the market value of the investments moved in the underlying securities.","The trustee has the power to invest in such stocks, shares, investments and property as they see fit. The trustee engaged HSBC Global Asset Management (UK) Limited as Investment Managers. The policy is to adopt a low to medium risk investment strategy to protect, in absolute terms, the capital value of the fund whilst producing a sustainable and growing level of income, and also providing the potential for longer term growth of capital in real terms.",
297697,2024,"The McCorquodale Charitable Trust's primary objects are to promote the advancement of education, the relief of poverty, and the advancement of religion, culture, heritage, and science in the United Kingdom. The Trustees set the strategy for the charity, which is reviewed annually to ensure that the charity's activities remain focused on achieving these objectives. The charity makes grants to registered charities and other charitable institutions to further these objects.","During the year, the charity made grants totaling £311,846 to a range of charitable institutions across the UK. This was in line with the charity's objectives and grant-making policy, supporting work in areas such as education, poverty relief, and the advancement of culture and heritage. The Trustees are pleased that the charity's activities and grant-making over the year have had a positive impact and helped to further its core charitable aims.","The charity's grant-making policy is reviewed annually by the Trustees to ensure it remains aligned with the charity's objectives. Grants are awarded to registered charities and other charitable institutions whose work falls within the Trust's areas of interest. The Trustees consider grant applications on their individual merits, taking into account factors such as the likely impact and benefit of the proposed work, as well as the applicant's financial position and management capabilities.",
1052478,2024,"Ovingdean Hall Foundation, previously Ovingdean Hall School for Deaf Children, is a charity and grant-maker supporting education projects for deaf children and young people in England and Wales.

The charity's objects, as set out in its Charity Trust Deed, are to 'promote and further the education, including social and physical education, of children and young people with a hearing impairment.'","During 2023-24, Ovingdean Hall Foundation (OHF) supported a range of existing and new projects for deaf children and young people. In addition to supporting activities such as drama, music, sport and teacher training, OF received an increased number of applications from youth clubs/groups, and during this period, it was able to provide additional support for these groups in Birmingham, Cardiff, Cheshire, London, Portsmouth and Walsall.","The Trustees have established agreed criteria for eligibility for submitting grant applications including areas that they will not fund. 

Applications are then considered by the Trustees using the information from the application form and supporting mandatory information such as the applying organisation's trading accounts for the last financial year, forecast income and expenditure for the current financial year and their safeguarding policies and procedures.

Once an application has been successful, the project is monitored throughout its term by visits from an Ovingdean Hall Foundation representative and through stringent interim and end of project monitoring forms.",
1009946,2024,The charity makes grants to organizations in accordance with the charity's objectives,"During the year, the charity's total income amounted to £241,761 (2023: £64,291). Of which £71,000 (2023: £46,448) was donations received.

The investment portfolio was sold during the year which generated income of £110,158 which is included within proceeds from sale of investment.

During the year total donations made amounted to £97,098 (2023: £73,383).

Total investment income received amounted to £16,966 (2023: £4,737)",,
327900,2024,"The objective of the Trust is General Charitable Purposes by making grants to individuals and organizations for the benefit of: Children and young people, Elderly and old people, People with disabilities, Other charities and voluntary bodies","The Trust has made a total of 50 donations and grants over the year totalling £112,000.",The Trustees meet normally twice per year to consider applications and to make donations for general charitable purposes in line with the objectives of the Trust. Donations can also be approved where necessary between meetings. All applications are considered. The Trust has been particularly interested in benefitting people from the East Midland areas of the UK.,
278692,2024,"The Notgrove Trust was created by Deed dated 1 September 1979. The Trustees shall hold the capital and the income of the Trust Fund upon trust to apply income and, as far as may be necessary, the capital for or towards such charitable purposes and to make donations to such charitable bodies or institutions at such times and in such manner as the Trustees may, in their absolute discretion, think fit. The Trustees favor charities based in Gloucestershire.","During the year the Trustees have supported a number of charitable organisations, details of the organizations supported are shown within note 19 to the financial statements.","The Trustees receive applications for funding throughout the year and applications are reviewed on a regular basis. Only successful applicants are notified of the Trustees' decision. Certain charities are supported with a multi-year grant, although no commitment is given. The Trustees benefit charitable institutions and organizations and make payments to individuals in accordance with Clause 3 (2) of the Declaration of Trust.",
239198,2024,"The trustees may at their discretion: (i) Appropriate or undertake to pay to or for the benefit of any charitable object, charitable purpose or charitable institution, the income of all or part of the trust fund or any fixed or ascertainable sum payable out of such income during any period fixed or ascertainable, and with or without any trusts or conditions of an exclusively charitable nature attached thereto. (ii) Raise and pay out of the capital of the trust fund any sum of money or transfer any investments forming part thereof to any charitable institution or to any persons as trustees, for any such institution or for any charitable object or charitable purpose in such manner and upon such trusts and conditions (being of an exclusively charitable nature) as the trustees may determine. Applications for financial assistance are considered by the trustees at meetings held in Spring and Autumn. Most beneficiaries are connected in some way with the Birmingham area.",Grants were temporarily suspended during the year under review. The trustees consider the trust to be a public benefit entity and consider its grant making activity to be for the public benefit.,,
258555,2024,The charity's principal objects are to provide relief and assistance for physically handicapped persons or groups of persons. The charity makes grants to individuals and institutions for the relief and assistance of physically handicapped persons or groups of persons.,During the year the charity continued its policy of making grants to individuals and organisations working for the relief and assistance of physically handicapped persons. Grants were made to a number of individuals and organisations in pursuance of the charity's objects. The Trustees are satisfied that the systems and procedures are in place to monitor the application of grants and ensure that they are used for the intended purposes.,The charity has a grants policy which is reviewed annually by the Trustees. Grants are made to individuals and organisations working for the relief and assistance of physically handicapped persons who apply to the charity and meet the eligibility criteria. The Trustees consider all applications received and decide which to award based on the charity's objectives and available funds.,
299453,2024,The Foundation's objects are to advance funds for general charitable purposes with emphasis on the furtherance of Jewish charities and education.,"The Foundation's income for the year was £75,736 (2023: £175,115). The Trustees are pleased to report that the Foundation made donations to various charities amounting to £44,150 (2023: £32,550) in the year. The net deficit of £921 (2023: surplus £53,321) was transferred to accumulated funds.",,
255281,2024,"The Charity was established to support the activities of religious Jewish organizations recognized as charitable by English Law both in the United Kingdom and abroad, especially those in the field of education and relief of poverty. The Trustees regularly support a significant number of institutions and organizations both in the United Kingdom and abroad which meet the Charity's criteria. The Charity is also supportive of organizations which are solely committed to the relief of poverty. Such organizations assist needy Jewish families through both financial and non-financial grants and distributions. The Charity receives income from its investment properties, cash deposits, fixed asset listed investments and subsidiary and associated undertakings which it utilizes in the provision and distribution of grants, donations and loans to organizations that fall within the objectives of the Charity.","During the year the Charity continued its philanthropic activities in support of religious, educational and other Charitable Institutions and the aggregate of donations made was £3,100,000 (2023: £3,810,000): Over 110 institutions and organizations were the recipients of the above donations. There was no expenditure on direct charitable activities in the year (2023: £4,000). No change in activities is envisaged in the immediate future. In recent years, the Trustees have continued to support certain major projects which, during previous years, have received substantial financial grants from the Charity. At the present time the Trustees have entered into commitments for the financial support of Colleges and Institutions which is anticipated to absorb approximately £6 million comprising Tangible Fixed Assets made available by the Charity and the provision of financial support over the next five years (Note 16). Funds to meet these commitments have been set aside and are referred to as ""Designated Funds"" in the Financial Statements.","The Charity makes Grants and Donations to Colleges and Institutions for the advancement of religion and education and to Institutions for the relief of poverty in accordance with the Charity's objectives. The recipient Institutions are based both in the United Kingdom and abroad. In making Grants and Donations, the Trustees use their personal knowledge of the Institution, its representatives, operational efficiency and reputation. The Trustees monitor the application of the Grants and Donations by meeting with representatives of the Institutions and obtaining information as to the utilization of funds. During the current and prior year, the Grants and Donations made by the Charity were for the advancement of religion and education and for the relief of poverty.",
