Funder Name,Charity Number,Change Type,Date,Description,Additional Details
SANTANDER UK FOUNDATION LIMITED,803655,Restructuring,21/10/2025,Santander Foundation’s new strategy for 2021 to 2024 ,
SANTANDER UK FOUNDATION LIMITED,803655,Restructuring,21/10/2025,"As part of the strategic review which took place in 2019, the Foundation established a new strategic grants programme, the Santander Foundation Digital & Financial Empowerment Fund. ",
SANTANDER UK FOUNDATION LIMITED,803655,Restructuring,21/10/2025, Santander UK plc and Santander Foundation are in active talks about restarting donations from the beginning of 2027. ,
SANTANDER UK FOUNDATION LIMITED,803655,Paused,21/10/2025," In 2024, £238,248 was received from Santander UK plc towards the Matched Donations, a scheme for Santander employees to further their fundraising efforts which is delivered by the Foundation. The Foundation did not receive any additional annual monetary contribution. The matched donations scheme supplemented the donations raised by Santander UK plc colleagues for charities that were close to their hearts. The scheme was paused on 30th November 2024 following a joint decision by the trustees and Santander UK. The pause allows Santander UK to explore more impactful ways of deploying these funds within its own community programmes and takes into account the Foundations own strategic review, which kicked off in 2024.",
SANTANDER UK FOUNDATION LIMITED,803655,Restructuring,21/10/2025,"In 2025, the Foundation and its corporate donor will align and formalise the future terms of engagement and collaboration between the parties, underpinned by the outcome of the Foundation’s strategic review. The review expected to conclude by summer 2025.
",
Sylvia Waddilove Foundation Uk,1118097,Reopened,21/10/2025,"The Autumn 2025 application round is now OPEN. Please submit your applications by 17:00 on 7th November 2025.

We reserve the right to close the application window earlier if a large volume of applications are received.",
London Catalyst,1066739,Paused,21/10/2025,Partners for Health Programme currently paused for 2025,
Mayor of Southwark’s Common Good Trust,280011,Other,21/10/2025,"
States on website it is at the end of operations and shutting down.
","""The Mayor of Southwark’s Common Good Trust is currently in the processing of ending its operations and shutting down.""
 
"
The Edith M Ellis 1985 Charitable Trust,292835,Restructuring,21/10/2025,"Applications to the Trust’s grant-giving programme closed on 31 May 2025. Successful applicants for the current round will be informed by 31 July 2025. If you have not heard within three calendar months of the closing date you should assume you have been unsuccessful.

Please note that the grant-making policy of the Trust is under review; this round of applications was the last of its kind.",
SANTANDER UK FOUNDATION LIMITED,803655,Paused,21/10/2025,"In 2023, Santander UK plc paused its annual monetary contribution to the Foundation, whilst maintaining the support in-kind for services provided

","
"
Rowan Bentall Charitable Trust ( R11 ),273818,Paused,21/10/2025,"Regrettably, due to the Trust's numerous existing charitable commitments and limited funds, we are unable to assist at this time. 

This situation is expected to continue for the foreseeable future.",
Orange Tree Trust,1183882,Restructuring,20/10/2025,All previous grant programmes are now closed and future work centred around The Mosiac Rooms.,"Website homepage now states: The Orange Tree Trust is a grant-making trust established in 2018 that supports individuals and charitable organisations in the UK and elsewhere. The Orange Tree Trust is currently undergoing a period of transition, and all our previous grant programmes and activities have now closed. We are looking ahead to a new chapter, with our future work centered around The Mosaic Rooms. "
Trust For London,205629,Restructuring,20/10/2025,"Trust for London has announced that it will no longer fund projects that only support individuals, such as advice or service delivery work. 

From now on, they’ll focus resources on work that tackles the root causes of poverty. Our seven priority areas - tackling the housing crisis, ending the poverty premium, decent work, improving social security, ending migrant destitution*, racial justice and disability justice – remain unchanged. What changes is the sort of work we will fund within them.

That could be:

Supporting new ideas and models that challenge unfair systems and build alternatives.
Backing sustained campaigns that change policy.
Funding advice work that directly links with  broader policy advocacy.

Applications can be submitted at any time and are considered on a rolling basis. 

This won’t affect any current grants. If you have any questions about your current grant, please reach out to your grant manager.

* Please note: our migration priority is currently closed to applications while we review how best to prioritise our resources in the current hostile climate. We will provide an update shortly.","Like many funders, our endowment has been affected by the economic climate. This, combined with the fact that we stepped up our supporting during the pandemic and following years, means we have less money available to give out. At the same time, the need in London has not reduced."
The Irving Memorial Trust,1173441,Spending Out,20/10/2025,The Irving Memorial Trust has been fully distributed and closed down,They are still on Charity commision
The Taylor Family Foundation,1118032,Restructuring,18/10/2025,Currently reviewing their funding strategy. ,"Interesting to read in the accounts submitted in January 2024 that their key aims were;

📎to build on relationships with a chosen few of our existing recipient charities; 📎to seek a few additional charities with whom we would like to work.
📎 to maintain a close interest in the application of funds already donated; 

No accounts required this year due to income level"
National Garden Scheme ,1112664,Closed Early,18/10/2025,"Applications for 2026 Community Garden Grants are now open until 12 noon on 20th October 2025. Before applying, please check the guidelines below to see if your project is eligible. SUBMISSION UPDATE 10th October 2025: It is highly likely that we will have received 300 valid submissions by Monday 13th October, so any submission received after that day maybe too late to be considered for assessment.",
The Taylor Family Foundation,1118032,Paused,18/10/2025,"From website (17/10/2025):  We have decided to close our Contact form for the time being while we develop our funding strategy. We will re-open this in 2026. We are not open to any new applications at this time, and we apologise if you were planning to be in touch.

",
MK Community Foundation,295107,New,17/10/2025,"MK Community Foundation have just relaunched their grant programme. MKCF now operates four main grant programmes designed to fit different project scales and needs 

Seed Grants – Up to £750 for small, quick-impact projects with a simplified application process.
Sapling Grants – Up to £5,000 for community groups developing new work or expanding local activities.
Oak Grants – Up to £15,000 for larger, established initiatives with strong community benefit.
Strategic Partnership Grants – Over £15,000, often multi-year or core funding, for organisations delivering systemic impact or collaborating strategically across the city.

These programmes emerged from consultations with more than 140 local organisations and Open University research, responding to requests for faster, fairer decision-making and accessible small-grant pathways",Charity No. 295107
The Portrack Charitable Trust,266120,Paused,16/10/2025,"We have have a backlog of applications to review and are not accepting any new ones. All correspondence by email please portrackcharitabletrust@gmail.com. We can only support UK Registered charities, not CICs or individuals.
",Found via Charity Commission
UnLtd,1090393,Restructuring,14/10/2025,"Due to a significant rise in demand for UnLtd Awards, they have introduced a limit on the number of applications we can accept and process in each award making round. From now on, each funding round will be limited to 650 submitted applications.
",
Bbc Children In Need,802052,Restructuring,13/10/2025,"
Children in Need have four strategic outcomes for children and young people. 

Preventing mental health issues
Alleviating the impact of poverty and deprivation
Reducing social inequity for marginalised children and young people
Addressing the impact of family related challenges

They are also committed to support:

Youth work, including youth and activity-based clubs and detached youth work
Family support and play for early years children

Local Funding Priorities are also outlined.  

Funding priorities will be reviewed at least annually, and may differ depending on where you are in the UK. 

Before you submit an Expression of Interest, you must attend a pre-application advice session.

If you’ve received BBC Children in Need funding before, or you’re a current grant holder planning to apply again, you’ll still need to attend a session before submitting a new application.

You will be able to submit an Expression of Interest on the new grantee portal by the end of October 2025

",
Arts Council England,1036733,Reopened,10/10/2025,"National Lottery Project Grants over £100,000
ACE stated - We can now confirm that the Major Projects, Place Partnerships and Touring strands of National Lottery Project Grants will all be reopen on Monday 20 October. Before then, registration and expression of interest dates will open across the week of 13 October. ",Also info here https://www.artscouncil.org.uk/ProjectGrants/national-lottery-project-grants-guidance-library#t-in-page-nav-3
Abbvie,,Did Not Open,09/10/2025,"Abbvie postponed their opening date from 1st Sept to 3rd October...however, it didn't open (as far as I am aware) and the website now says re-opening in 2026.",I'm not holding my breath...
The Girdlers' Company Charitable Trust,328026,Not Open to Unsolicited Applications,09/10/2025,"Although it has been possible in the past for charities to apply for one-off grants for projects that meet a specific area of need, the Girdlers' Company regrets that due to our funding now being fully allocated for the foreseeable future, it can no longer consider new applications for financial support, either online or by post.","The Company completed a review of its grant making activity in 2017 and agreed to continue to direct support from the Charitable Trust to the charities with whom there is an existing relationship. In the case of charities new to the Trust, the Company endorsed the review’s recommendation to focus on those which support specific areas of need."
Arts Council England,1036733,Reopened,09/10/2025,"On 30th September the National Lottery Project Grants £30,001 and £100,000 reopened for applications. (This does not include applications for Touring, which will be available from mid-October.) 
There is a new online form that you must fill in to be sent a link to make your application (this is not the same online form as the under £30k applications)",
Arts Council England,1036733,Reopened,09/10/2025,"On Monday 22 September the National Lottery Project Grants programme reopened for applications to the £30,000 and under strand.  There is an online portal to register to make applications. ",
The Joyce Fletcher Charitable Trust,297901,Criteria Updated,09/10/2025,"Reducing total funding available, closing to applicants without an active relationship with the trustees, limiting geographical area.","It has been an excessively difficult year for everyone. Our annual report for the year ending April 2025 is now on the CC website and contains useful information, but this total of grants(£226k) is highly unlikely to be repeated. This year's total will be around £160k.  

The trust is in the process of moving to the north of England in the next few years; grants will be made only to those with an active relationship with the trustees (ie reports, visits and communications). The intention is to make fewer but larger grants, and applicants need to be aware. Our own website is in a state of flux and awaits re-design.

This year some 90 apologies have been sent out via email/SAEs, where possible. In addition to the traditional Arts & young people categories in the SW, applications should be strictly for Green Environmental issues in the Manchester area and for Sports & Education(ie together !) in the Bradford-Leeds areas of Yorkshire. New applicants from the SW are much less likely to be successful."
Esmee Fairbairn Foundation,200051,Restructuring,08/10/2025,Have changed the questions in their Expression of Interest ,
Paul Hamlyn Foundation,1102927,Paused,08/10/2025,Pause new applications to the Arts Access and Participation Fund between 15 December 2023 (12 noon) and 1 April 2024.,
Paul Hamlyn Foundation,1102927,Paused,08/10/2025,"Ideas and Pioneers Fund closed to new applications for at least a year, from 15 November 2021. ","Since the Fund first opened seven years ago, demand has increased significantly. Increasingly however, the Foundation have had to say no to a lot of proposals (currently  turn down about 86% of all applications)."
Paul Hamlyn Foundation,1102927,Reopened,08/10/2025,"In April 2024, the Migration Fund went through an in-depth consultation process which resulted in a new vision, criteria and priorities. New shared vision: a world in which everyone is free to move, and no one is forced to move. Introduced grants of up to five years - encourage core funding, while also being open to funding dedicated to specific projects or for partnerships. Capped grant-making at £60,000 per year for grants of three to four years, and at £50,000 per year for five-year grants. Prioritise applications from organisations led by migrants and diaspora communities with annual turnover under £500,000; and/​or that have less access to funding from other sources. We will also maintain our commitment to fund up to 50% of the annual income of migrant and diaspora-led organisations with an annual turnover of up to £120,000 to take accountability for our previous under-resourcing of these groups.",
Paul Hamlyn Foundation,1102927,Reopened,08/10/2025,"The Fund reopened in July 2024 with a renewed focus, having paused in 2021","Increased the grant amount which is now up to £20,000 and  will continue to offer a package of support that includes 1–2‑1 mentoring. There is now an explicit emphasis on funding for people under the age of 30, for those with direct lived experience of the issues they want to address and those that have not received funding before. In addition, they have sought to fund ideas that could contribute towards addressing the root causes of injustice and inequality."
Paul Hamlyn Foundation,1102927,One to Watch,08/10/2025,"Published in July 2025 the Foundation's 2024/25 Annual Report outlined that they had approved a total of 291 grants from decisions on 1,485 applications and saw an increase in demand with the number of grant applications up 75% on the previous year and the value of grant applications up almost 90%. Total grant-making £35.9 million.",
The National Lottery Community Fund,,Paused,08/10/2025,Young Start is pausing applications from 19 December 2025 ,"To make space for a refreshed Young Start programme launching in Spring 2026, we're pausing new applications from noon on Friday 19 December 2025. 

This change is part of a two-year listening journey, where we engaged with 130+ children and young people as well as grant holders, partners, and funders to co-design a funding programme that better centres children and young people living in Scotland. 

If you're thinking of applying, we encourage you to get in touch with us as soon as possible. 

Current grant holders and applications already submitted will not be affected. 
Other funding programmes remain open as normal. "
Paul Hamlyn Foundation,1102927,Paused,08/10/2025,"In January 2024, what was the Shared Ground Fund now the Migration Fund briefly paused the Fund to allow changes to be implemented and prepare for the Fund’s re-launch in early spring. Whilst they do this, they won’t be able to accept new applications or enquiry calls to the Shared Ground Fund from Friday 9 February (11:59pm) through early spring 2024.",
Paul Hamlyn Foundation,1102927,Restructuring,08/10/2025,"In April 2024, the Foundation refreshed their Arts Fund moving to a model of funding based on rounds rather than a rolling process. Round 1  April 2024 - May 31st 2024. Round 2 Monday 4th November - Friday 31st January 2025. ","In the two rounds to date, they received 816 applications from arts organisations, requesting a total of £166m. By comparison, the Arts Fund’s annual budget is £6.5m. This means that, despite the quality of many applications, only 7% of organisations were successful. The volume of demand means the success rate has more than halved over the past four years."
PLR Trust,264119,Not Open to Unsolicited Applications,08/10/2025,"""The PLR Trust has recently restructured its funding model so that it no longer has an open application process. Instead, the Trust actively seeks out charities to support and selectively chooses projects based upon its vision and values.""",
The Dorfman Foundation,1120714,Paused,08/10/2025,They are not accepting new applications for the time being as they want to see out the spend on recent capital commitments. ,"On 08/10/25 I spoke with the 'gatekeeper' at BDO and he said the Dorfman Foundation weren't accepting new applications currently. When asked when they would be, he couldn't give a definitive answer as depends on the recent capital commitments they have made. "
38 Degrees Trust,1139325,Not Open to Unsolicited Applications,07/10/2025,Website states that they are not open to unsolicited applications,
The Vinehill Trust,1185978,Criteria Updated,07/10/2025,"Have updated their criteria under 'health' after a few months pause. Now have permanent focus areas as well as 'temporary focus areas' for specific years. 

Our focus areas

Permanent focus areas 

We accept applications at any time for projects that address acute conditions, such as:

pre-hospital care

life-saving equipment/training/intervention

suicide prevention services

Temporary focus areas 

In addition to our permanent focus areas, we have temporary focus areas, covering both physical and mental health, that change each calendar year.

The temporary focus areas for 2026-2028 are set out below (please note these may change to reflect evolving needs).

2026 cycle (you may apply any time from now until 30 June 2026)

direct, practical health interventions for patients with long-term physical and/or intellectual disabilities

trauma recovery for those with diagnosed mental health conditions

2027 cycle (you may apply any time from 1 August 2026 to 30 June 2027) 

rehabilitation or aftercare for physical trauma or surgery

improvement of health through the creation or enhancement of green spaces

2028 cycle (apply any time from 1 August 2027 to 30 June 2028) 

community drug and alcohol rehabilitation programmes

direct support for people facing loneliness and isolation","To maintain a focus on health outcomes, we do not fund:

projects primarily focused on entertainment, arts or general well-being

remotely delivered services with no in-person or clinical component

awareness-raising or educational work without direct intervention

academic research

lobbying

capital building works that do not support a direct health intervention"
John James Bristol Foundation,288417,One to Watch,07/10/2025,"This note was recently included in an award notification email: 

""In light of an increasing number of applications and demonstrable need within the City, the Trustees will be reviewing their grant making policy over the forthcoming year. Please note that you should not take future funding for granted, particularly if you have been a recipient for several years.""",
Paul Hamlyn Foundation,1102927,Not Open to Unsolicited Applications,07/10/2025,"Not opening this year. Instead of opening for new applications, the Foundation will give out the same amount of funding through renewing existing grants and reconsidering applications received over the past year. For the next financial year (from now until at least April 2027), we will revisit a small number of applications that were declined in the last two rounds, and we will renew grants with some organisations whose funding from Paul Hamlyn Foundation is coming to an end over the next year. We will make grants to a total value of £6.5m in 2026–27 – the same level of funding as in the previous year.","In April 2024, the Foundation refreshed its Arts Fund, moving to a model of funding based on rounds rather than a rolling process. Now the second round of this funding has finished, they are sharing an update on the next phase – up to April 2027. 

In the two rounds to date, they received 816 applications from arts organisations, requesting a total of £166m. By comparison, the Arts Fund’s annual budget is £6.5m. This means that, despite the quality of many applications, only 7% of organisations were successful. The volume of demand means the success rate has more than halved over the past four years."
CAVATINA CHAMBER MUSIC TRUST,1067716,Restructuring,06/10/2025,CAVATINA's activities are currently under review. Updates will be posted on the website in due course.,
The National Lottery Community Fund,,Other,06/10/2025,New website and refreshed branding ,
The Comino Foundation,312875,Not Open to Unsolicited Applications,06/10/2025,"The Foundation has a wide range of established long-term funding commitments and is not currently soliciting applications.  

",
The Waterloo Foundation,1117535,Paused,06/10/2025,"CHILD DEVELOPMENT - PRACTICAL PROJECTS

Temporarily closed to new expressions of interest. We will be considering applications to this funding again in September 2025. If you have already sent in an expression of interest and been invited to submit a full application please do continue to do so.
","The Waterloo Foundation provides mainly smaller grants to smaller organisations for a range of project strands under four main headings - Child Development, Environment, World Development, and Wales. Some strands have application deadlines while others are on a rolling basis."
The Bartle Family Charitable Trust,1069927,Not Open to Unsolicited Applications,06/10/2025,"Email from Pat Bartle, Trustee: 
""Unfortunately we are unable to help you with funding as we are not considering new applications for the foreseeable future.""",
The Hillcote Trust,263393,Spending Out,04/10/2025,"The Trustees have made the decision to  close the trust.
Last applications for funds will be in 2026.",
Educational Opportunity Foundation,314286,New,02/10/2025,"Educational Opportunity Foundation awards approximately £700,000 in new grants every year for projects which maximise educational opportunity for children and young people under the age of 25 in the UK and internationally.

Eligibility
UK registered charities with an income normally between £25,000 and £2.5 million.
Charities must have at least three years of continuous accounts submitted to the relevant UK Charity Commission or Regulator.
Charities must be financially sound and registered with the Charity Commission for England and Wales, Office of the Scottish Charity Regulator or the Charity Commission for Northern Ireland.
Organisations should be directly involved in the provision of the project activities. We do not fund organisations whose primary purpose is fundraising.
Organisations must be committed to minimising their impact on the environment and be able to evidence how they have considered climate change adaptation and / or mitigation in their projects.
Organisations must have their own safeguarding procedures that comply with the relevant Charity Commission guidance as a minimum, and include any additional legal or regulatory requirements specific to their work.

Stage 1 application deadlines for international projects:

5 November 2025 (Grants Committee meeting 21 January 2026)
13 May 2026 (Grants Committee meeting 15 July 2026)
13 July 2026 (Grants Committee meeting 21 October 2026)
Stage 1 application deadline for UK projects:

14 January 2026 (Grants Committee meeting 15 April 2026)

Grant Details
International projects: £30,000 to £60,000 per project (maximum £30,000 per year for multi year projects)

UK projects: £30,000 to £90,000 per project (maximum £30,000 per year for multi year projects)
","
International projects

We support work that improves the quality, sustainability, and access to education for young people up to the age of 25 within marginalised and deprived communities worldwide.

We will fund between £30,000 to £60,000 per project (maximum £30,000 per year for multi year projects) for projects which:

Improve access to education
Improve the quality of education
Improve the sustainability of education projects

UK projects

We support work that improves the educational outcomes and life chances of care experienced young people (under the age of 25 and living in the UK).

We will fund between £30,000 to £90,000 per project (maximum £30,000 per year for multi year projects) for projects which work with either care experienced young people, their carers or education professionals to:

Improve access to educational opportunity
Improve educational outcomes
Improve life chances"
The Helvellyn Foundation,1190948,Criteria Updated,02/10/2025,Change of focus to organisations working at a global level on protecting and preserving the natural world.,"Announced on LinkedIn, not yet on their website. Have never been open to applications but have a form on the website that you can use to introduce your charity"
The Peter Cruddas Foundation,1117323,Removed From Register,02/10/2025,"The Peter Cruddas Foundation is now closed and has applied to The Charity Commission of England and Wales to removed from its register.
","
"
The Albert Gubay Charitable Foundation,1193970,Reopened,02/10/2025,Albert Gubay Foundation has reopened their General Fund ,"
You firstly need to complete their eligibility test. It is important to note that this is not an application form. Once you have submitted a completed eligibility test a member of their Grants Team will verify your answers and a link sent to digital application form and a deadline for submission given."
The Nineveh Charitable Trust,256025,One to Watch,02/10/2025,"Massively increased demand, applications for Forest Schools are very unlikely to be successful at present.
","Website now has the following pop-up:

Our Trust is currently experiencing massively increased demand for our financial support.

However, we have limited funds available, and thus…

applications for Forest Schools are very unlikely to be successful at present.

We will keep the situation under review."
The Steel Charitable Trust,272384,Not Open to Unsolicited Applications,01/10/2025,"
The Trust will not be offering an open application process for the Under-26 programme at all in 2026 and running only a very limited opportunity for our Luton programme. They will review how this plays out next year before deciding the best way forward in 2027 and beyond.


","About the summer 2025 funding round: Despite the recent restructure of our grant-making, we are still receiving an unprecedented volume of applications and so, with a limited grants budget, the chance of a positive outcome is becoming smaller – it was only about 4% in this round from over 450 applications. With a view to being able to fairly review applications, and mindful of applicants' time, the Trustees have taken the decision to significantly change what we do, certainly for next year. We will not, therefore be offering an open application process for the Under-26 programme at all in 2026 and running only a very limited opportunity for our Luton programme. We will review how this plays out next year before deciding the best way forward in 2027 and beyond. Clearly, this is a decision that has been taken with some reluctance as we are only too aware of how many social, cultural and societal issues are being addressed by charities with dedication and purpose. It is certainly worth checking our website from time to time for future changes."
The Ogden Trust ,1037570,Restructuring,25/09/2025,"Following the launch of their new strategy, the Trust will no longer offer physics education grants from September 2026. There will be one final round of Physics Education Grant funding in 2025-26 (up to £5,000), which will open on Friday 2 January 2026 and close at 9am on Monday 2 March 2026. All projects applying in this round must complete by Summer 2027.",
The Clothworkers Foundation,274100,Reopened,24/09/2025,"The Foundation launched their new website along with the new application forms and processes for our Open Grants Programme in July 2025. Their Impact Framework  allows them to prioritise between eligible applications on two distinct criteria:  

We prioritise organisations that are embedding lived experience of the issues they tackle into their decision-making.
We prioritise projects that will help organisations make significant change to their delivery, reach or sustainability (not necessarily all three).

Over time, they hope to share data about which organisations and which projects are being funded under the new Impact Framework. Those results may lead to further changes to eligibility or prioritisation as they endeavour not to waste organisations' time. With that goal in mind, they have:  

Reviewed all the questions we ask on our one-stage Small Grants Application to ensure we are asking only for the information we need to assess, prioritise, and reasonably report on our grants.
Introduced a two-stage Large Grants Application – so that organisations who are unlikely to be prioritised get a quicker decision, with less time wasted on completing the full form.  


",
John Lewis Partnership Foundation,1118162,Reopened,24/09/2025,New extended deadline Monday 29th September 2025,
John Lewis Partnership Foundation,1118162,Reopened,23/09/2025,"24 hours after closing the John Lewis Building Happier Futures Fund is open again 
",
John Lewis Partnership Foundation,1118162,Closed Early,22/09/2025,"The published deadline for the John Lewis Foundation's Building Happier Futures Fund was 25th September 2025 (17:00) however their website now says that applications closed on 22nd September 2025, due to high number of applicants . Likely to re-open in March 2026 but check in February 2026",
The Mosawi Foundation ,1157269,Restructuring,22/09/2025,"The Mosawi Foundation was established in 2014, but ceased to exist in July 2025 according to the Charity Commission, having transferred their funds to the Charities Aid Foundation. A fundraiser's correspondence with the Foundation's administrator confirmed their partnership portfolio was at capacity, so they weren't in a position to consider any funding requests.",
The Paristamen Charity ,SC050822,Spending Out,22/09/2025,The Trustees of the Paristamen Charity that they will be looking to wind-up The Paristamen Charity at the end of the financial year ending 31 March 2027.,The decision is partly prompted by the trustees wishing to step down and retire from the substantial time given to the Charity. The last round of Responsive Grants will be awarded in March 2027 and the final date for receipt of applications will be 1 Feb 2027.  
Sussex Community Foundation,1113226,Reopened,19/09/2025,"Opened Friday 19th September. Deadline 17th October. However  but they receive very high demand, they may need to pause earlier so that every application gets proper consideration. There will be more opportunities to apply in early 2026",
Schroder Charity Trust,214050,Reopened,19/09/2025,"Will reopen on 1st October 2025 with a closing date of 30th November 2025. Thereafter there will be two rounds per year, with 2026 dates being announced in December 2025. 

More focussed grant-making strategy centring on 2 objectives: 1) enabling children and young adults from disadvantaged backgrounds to thrive in education and employment, 2) strengthening communities through services and opportunities which improve the lives of vulnerable and disadvantaged people","UK wide funder
Grants of up to £5,000 are typically awarded, and funding may be used towards either core or project costs. 
Applications are accepted from UK-registered charities with an annual income between £150,000 and £1 million. 
They anticipate taking 4 months for decision-making"
The National Lottery Community Fund,,Closed Early,17/09/2025,"The National Lottery are closed to new applicants for the Million Hours Fund.

'We’re closing this funding earlier than planned because of the large number of applications we’re getting'.

If you’ve started an application already, you can still submit it until midday on Tuesday 30 September.



Initial published application deadline was Midday, Wednesday 22nd October 20 25 with the caveat; 

'If more organisations apply than we expect we may have to stop accepting applications before our deadline. So you should apply as soon as you are ready, instead of waiting until the deadline'.",
The Felix Lustman Charitable Trust,272136,Spending Out,17/09/2025,"The Trust are not giving any more donations out as they're closing.
",
Sussex Community Foundation,1113226,Restructuring,17/09/2025,"Sussex Community Foundation will soon be reopening grants with a refreshed approach.

After listening to charities and donors, we’ve simplified our processes to make grant making more accessible, strategic, and flexible.

✅ New Expression of Interest stage – less work upfront, faster feedback
✅ More unrestricted funding to support core work
✅ A brand new applicant portal with real-time updates
✅ Greater choice and flexibility for donors, including larger and multi-year awards",
MacRobert Trust,SC049745,Paused,17/09/2025,The MacRobert Trust Application Portal is closed at present. The website will be updated in early 2026 with more information.,
